Recall,Precision,Thresholds,Data,Train Size,Speaker Number,D-vector
0.968,0.4003308519437552,0.838333,Digit Data,40%,5,conv5_block3_out
0.968,0.4006622516556291,0.83844984,Digit Data,40%,5,conv5_block3_out
0.968,0.4009942004971003,0.8385359,Digit Data,40%,5,conv5_block3_out
0.966,0.40049751243781095,0.8386121,Digit Data,40%,5,conv5_block3_out
0.966,0.4008298755186722,0.8387636,Digit Data,40%,5,conv5_block3_out
0.966,0.4011627906976744,0.8388167999999999,Digit Data,40%,5,conv5_block3_out
0.966,0.4014962593516209,0.8388222,Digit Data,40%,5,conv5_block3_out
0.966,0.4018302828618968,0.8388260000000001,Digit Data,40%,5,conv5_block3_out
0.966,0.4021648626144879,0.8389464,Digit Data,40%,5,conv5_block3_out
0.966,0.4025,0.8389878000000001,Digit Data,40%,5,conv5_block3_out
0.966,0.4028356964136781,0.83911943,Digit Data,40%,5,conv5_block3_out
0.966,0.4031719532554257,0.8391332,Digit Data,40%,5,conv5_block3_out
0.966,0.4035087719298245,0.8392040999999999,Digit Data,40%,5,conv5_block3_out
0.966,0.40384615384615385,0.839289,Digit Data,40%,5,conv5_block3_out
0.966,0.40418410041841,0.8393141,Digit Data,40%,5,conv5_block3_out
0.966,0.4045226130653266,0.839599,Digit Data,40%,5,conv5_block3_out
0.966,0.404861693210394,0.83971095,Digit Data,40%,5,conv5_block3_out
0.9640000000000001,0.40436241610738255,0.8398533000000001,Digit Data,40%,5,conv5_block3_out
0.9640000000000001,0.40470193115029385,0.84000283,Digit Data,40%,5,conv5_block3_out
0.9640000000000001,0.4050420168067227,0.84010625,Digit Data,40%,5,conv5_block3_out
0.9620000000000001,0.4045416316232128,0.84020555,Digit Data,40%,5,conv5_block3_out
0.9620000000000001,0.4048821548821549,0.8402109,Digit Data,40%,5,conv5_block3_out
0.9620000000000001,0.405223251895535,0.8404011999999998,Digit Data,40%,5,conv5_block3_out
0.96,0.4047217537942665,0.84053856,Digit Data,40%,5,conv5_block3_out
0.96,0.4050632911392405,0.84063405,Digit Data,40%,5,conv5_block3_out
0.96,0.40540540540540543,0.8406575000000001,Digit Data,40%,5,conv5_block3_out
0.96,0.4057480980557904,0.8406984000000001,Digit Data,40%,5,conv5_block3_out
0.96,0.4060913705583756,0.84081674,Digit Data,40%,5,conv5_block3_out
0.96,0.4064352243861135,0.8408594000000001,Digit Data,40%,5,conv5_block3_out
0.96,0.4067796610169492,0.84107435,Digit Data,40%,5,conv5_block3_out
0.958,0.4062765055131468,0.84116197,Digit Data,40%,5,conv5_block3_out
0.958,0.4066213921901528,0.84164184,Digit Data,40%,5,conv5_block3_out
0.956,0.40611724723874254,0.84172493,Digit Data,40%,5,conv5_block3_out
0.956,0.4064625850340136,0.84172845,Digit Data,40%,5,conv5_block3_out
0.956,0.40680851063829787,0.8418145,Digit Data,40%,5,conv5_block3_out
0.956,0.4071550255536627,0.84182614,Digit Data,40%,5,conv5_block3_out
0.956,0.4075021312872975,0.84198403,Digit Data,40%,5,conv5_block3_out
0.956,0.4078498293515359,0.84202355,Digit Data,40%,5,conv5_block3_out
0.956,0.408198121263877,0.8420638,Digit Data,40%,5,conv5_block3_out
0.956,0.4085470085470085,0.8420956,Digit Data,40%,5,conv5_block3_out
0.956,0.4088964927288281,0.84234184,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4083904109589041,0.84237915,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4087403598971722,0.8424303,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4090909090909091,0.84244704,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4094420600858369,0.8424828999999999,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4097938144329897,0.8425563,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.410146173688736,0.84264106,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4104991394148021,0.8426583000000001,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4108527131782946,0.8428181,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.41120689655172415,0.8428994000000001,Digit Data,40%,5,conv5_block3_out
0.9540000000000001,0.4115616911130285,0.8429286,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4110535405872193,0.8429613000000001,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4114088159031979,0.84301114,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4117647058823529,0.8430433,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4121212121212121,0.84315723,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4124783362218371,0.84317696,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4128360797918473,0.8431950999999999,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4131944444444444,0.8432308000000001,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4135534317984361,0.8434843000000001,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4139130434782609,0.84350264,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4142732811140122,0.84357584,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4146341463414634,0.8436756999999999,Digit Data,40%,5,conv5_block3_out
0.9520000000000001,0.4149956408020924,0.84367996,Digit Data,40%,5,conv5_block3_out
0.95,0.4144851657940663,0.8437165000000001,Digit Data,40%,5,conv5_block3_out
0.948,0.4139737991266376,0.8437177,Digit Data,40%,5,conv5_block3_out
0.948,0.4143356643356643,0.84374505,Digit Data,40%,5,conv5_block3_out
0.948,0.4146981627296588,0.8439015,Digit Data,40%,5,conv5_block3_out
0.948,0.415061295971979,0.8439184000000001,Digit Data,40%,5,conv5_block3_out
0.946,0.4145486415425066,0.84393126,Digit Data,40%,5,conv5_block3_out
0.946,0.4149122807017544,0.8440684000000002,Digit Data,40%,5,conv5_block3_out
0.9440000000000001,0.4143985952589992,0.8441353000000001,Digit Data,40%,5,conv5_block3_out
0.9440000000000001,0.4147627416520211,0.8441955,Digit Data,40%,5,conv5_block3_out
0.9440000000000001,0.4151275285839929,0.84422904,Digit Data,40%,5,conv5_block3_out
0.9420000000000001,0.41461267605633795,0.8443096,Digit Data,40%,5,conv5_block3_out
0.9420000000000001,0.4149779735682819,0.8443606,Digit Data,40%,5,conv5_block3_out
0.9420000000000001,0.41534391534391535,0.84446746,Digit Data,40%,5,conv5_block3_out
0.9420000000000001,0.4157105030891439,0.8445454,Digit Data,40%,5,conv5_block3_out
0.9420000000000001,0.4160777385159011,0.84470916,Digit Data,40%,5,conv5_block3_out
0.9420000000000001,0.4164456233421751,0.84488326,Digit Data,40%,5,conv5_block3_out
0.94,0.415929203539823,0.8451945,Digit Data,40%,5,conv5_block3_out
0.94,0.4162976085031001,0.84522825,Digit Data,40%,5,conv5_block3_out
0.94,0.4166666666666667,0.8452388000000001,Digit Data,40%,5,conv5_block3_out
0.94,0.417036379769299,0.84529674,Digit Data,40%,5,conv5_block3_out
0.94,0.4174067495559503,0.8454997999999999,Digit Data,40%,5,conv5_block3_out
0.94,0.4177777777777778,0.8456030000000001,Digit Data,40%,5,conv5_block3_out
0.94,0.4181494661921708,0.845699,Digit Data,40%,5,conv5_block3_out
0.94,0.4185218165627783,0.84580845,Digit Data,40%,5,conv5_block3_out
0.94,0.4188948306595365,0.8458254999999999,Digit Data,40%,5,conv5_block3_out
0.94,0.4192685102586976,0.84588814,Digit Data,40%,5,conv5_block3_out
0.938,0.41875,0.8461915999999999,Digit Data,40%,5,conv5_block3_out
0.938,0.41912421805183203,0.84619874,Digit Data,40%,5,conv5_block3_out
0.938,0.4194991055456172,0.8461989999999999,Digit Data,40%,5,conv5_block3_out
0.938,0.4198746642793196,0.84627736,Digit Data,40%,5,conv5_block3_out
